,Meta_Name,Meta_Content,Unigram,Top 20 Frequency Unigram,Bigram,Top 20 Bigram,Image URL
27,,,essentially,,"('essentially', 'algorithms')",,
28,,,algorithms,,"('algorithms', 'make')",,
29,,,make,,"('make', 'predictions')",,
30,,,predictions,,"('predictions', 'intelligent')",,
31,,,intelligent,,"('intelligent', 'behaviors')",,
32,,,behaviors,,"('behaviors', 'based')",,
33,,,based,,"('based', 'data')",,
34,,,data,,"('data', '.')",,
35,,,.,,"('.', 'It')",,
36,,,It,,"('It', 'part')",,
37,,,part,,"('part', 'Artificial')",,
38,,,Artificial,,"('Artificial', 'Intelligence')",,
39,,,Intelligence,,"('Intelligence', '(')",,
40,,,(,,"('(', 'AI')",,
41,,,AI,,"('AI', ')')",,
42,,,),,"(')', '.')",,
43,,,.,,"('.', 'Machine')",,
44,,,Machine,,"('Machine', 'Learning')",,
45,,,Learning,,"('Learning', 'System')",,
46,,,System,,"('System', 'make')",,
47,,,make,,"('make', 'predictions')",,
48,,,predictions,,"('predictions', '(')",,
49,,,(,,"('(', 'based')",,
50,,,based,,"('based', 'data')",,
51,,,data,,"('data', ')')",,
52,,,),,"(')', 'intelligent')",,
53,,,intelligent,,"('intelligent', 'behavior')",,
54,,,behavior,,"('behavior', '.')",,
55,,,.,,"('.', 'There')",,
56,,,There,,"('There', 'kinds')",,
57,,,kinds,,"('kinds', 'ML')",,
58,,,ML,,"('ML', 'systems')",,
59,,,systems,,"('systems', 'may')",,
60,,,may,,"('may', 'already')",,
61,,,already,,"('already', 'familiar')",,
62,,,familiar,,"('familiar', '(')",,
63,,,(,,"('(', 'face')",,
64,,,face,,"('face', 'detection')",,
65,,,detection,,"('detection', ',')",,
66,,,",",,"(',', 'face')",,
67,,,face,,"('face', 'recognition')",,
68,,,recognition,,"('recognition', ',')",,
69,,,",",,"(',', 'data')",,
70,,,data,,"('data', 'clustering')",,
71,,,clustering,,"('clustering', ',')",,
72,,,",",,"(',', 'price')",,
73,,,price,,"('price', 'prediction')",,
74,,,prediction,,"('prediction', 'etc')",,
75,,,etc,,"('etc', ')')",,
76,,,),,"(')', 'Data')",,
77,,,Data,,"('Data', 'key')",,
78,,,key,,"('key', 'part')",,
79,,,part,,"('part', 'Machine')",,
80,,,Machine,,"('Machine', 'Learning')",,
81,,,Learning,,"('Learning', 'System')",,
82,,,System,,"('System', '.')",,
83,,,.,,"('.', 'The')",,
84,,,The,,"('The', 'data')",,
85,,,data,,"('data', 'used')",,
86,,,used,,"('used', 'depends')",,
87,,,depends,,"('depends', 'problem')",,
88,,,problem,,"('problem', 'solved')",,
89,,,solved,,"('solved', '(')",,
90,,,(,,"('(', 'different')",,
91,,,different,,"('different', 'problems')",,
92,,,problems,,"('problems', ',')",,
93,,,",",,"(',', 'different')",,
94,,,different,,"('different', 'datasets')",,
95,,,datasets,,"('datasets', ')')",,
96,,,),,"(')', 'Related')",,
97,,,Related,,"('Related', 'Course')",,
98,,,Course,,"('Course', ':')",,
99,,,:,,"(':', 'Machine')",,
100,,,Machine,,"('Machine', 'Learning')",,
101,,,Learning,,"('Learning', 'Intro')",,
102,,,Intro,,"('Intro', 'Python')",,
103,,,Python,,"('Python', 'Developers')",,
104,,,Developers,,"('Developers', 'Algorithms')",,
105,,,Algorithms,,"('Algorithms', 'Machine')",,
106,,,Machine,,"('Machine', 'Learning')",,
107,,,Learning,,"('Learning', 'uses')",,
108,,,uses,,"('uses', 'algorithms')",,
109,,,algorithms,,"('algorithms', '“')",,
110,,,“,,"('“', 'learn')",,
111,,,learn,,"('learn', '”')",,
112,,,”,,"('”', 'data')",,
113,,,data,,"('data', '.')",,
114,,,.,,"('.', 'Algorithms')",,
115,,,Algorithms,,"('Algorithms', 'articles')",,
116,,,articles,,"('articles', 'related')",,
117,,,related,,"('related', 'Machine')",,
118,,,Machine,,"('Machine', 'Learning')",,
119,,,Learning,,"('Learning', ':')",,
120,,,:,,"(':', 'Linear')",,
121,,,Linear,,"('Linear', 'Regression')",,
122,,,Regression,,"('Regression', 'k')",,
123,,,k,,"('k', 'nearest')",,
124,,,nearest,,"('nearest', 'neighbors')",,
125,,,neighbors,,"('neighbors', 'Support')",,
126,,,Support,,"('Support', 'Vector')",,
127,,,Vector,,"('Vector', 'Machine')",,
128,,,Machine,,"('Machine', 'Supervised')",,
129,,,Supervised,,"('Supervised', 'Learning')",,
130,,,Learning,,"('Learning', 'Deep')",,
131,,,Deep,,"('Deep', 'Learning')",,
132,,,Learning,,"('Learning', 'Why')",,
133,,,Why,,"('Why', 'Machine')",,
134,,,Machine,,"('Machine', 'Learning')",,
135,,,Learning,,"('Learning', '?')",,
136,,,?,,"('?', 'Machine')",,
137,,,Machine,,"('Machine', 'Learning')",,
138,,,Learning,,"('Learning', 'lets')",,
139,,,lets,,"('lets', 'algorithms')",,
140,,,algorithms,,"('algorithms', '“')",,
141,,,“,,"('“', 'learn')",,
142,,,learn,,"('learn', 'data')",,
143,,,data,,"('data', '”')",,
144,,,”,,"('”', '.')",,
145,,,.,,"('.', 'The')",,
146,,,The,,"('The', 'software')",,
147,,,software,,"('software', 'developer')",,
148,,,developer,,"('developer', 'need')",,
149,,,need,,"('need', 'explicitly')",,
150,,,explicitly,,"('explicitly', 'write')",,
151,,,write,,"('write', 'code')",,
152,,,code,,"('code', 'every')",,
153,,,every,,"('every', 'form')",,
154,,,form,,"('form', 'intelligence')",,
155,,,intelligence,,"('intelligence', '.')",,
156,,,.,,"('.', 'Past')",,
157,,,Past,,"('Past', 'attempts')",,
158,,,attempts,,"('attempts', 'create')",,
159,,,create,,"('create', 'intelligent')",,
160,,,intelligent,,"('intelligent', 'systems')",,
161,,,systems,,"('systems', 'required')",,
162,,,required,,"('required', 'programmer')",,
163,,,programmer,,"('programmer', 'write')",,
164,,,write,,"('write', 'every')",,
165,,,every,,"('every', 'line')",,
166,,,line,,"('line', 'code')",,
167,,,code,,"('code', '.')",,
168,,,.,,"('.', 'Of')",,
169,,,Of,,"('Of', 'course')",,
170,,,course,,"('course', ',')",,
171,,,",",,"(',', 'many')",,
172,,,many,,"('many', 'intelligent')",,
173,,,intelligent,,"('intelligent', 'systems')",,
174,,,systems,,"('systems', 'simply')",,
175,,,simply,,"('simply', 'undoable')",,
176,,,undoable,,"('undoable', '.')",,
177,,,.,,"('.', 'For')",,
178,,,For,,"('For', 'example')",,
179,,,example,,"('example', ',')",,
180,,,",",,"(',', 'would')",,
181,,,would,,"('would', 'program')",,
182,,,program,,"('program', '“')",,
183,,,“,,"('“', 'speech')",,
184,,,speech,,"('speech', 'recognition')",,
185,,,recognition,,"('recognition', '”')",,
186,,,”,,"('”', 'system')",,
187,,,system,,"('system', '?')",,
188,,,?,,"('?', 'How')",,
189,,,How,,"('How', 'would')",,
190,,,would,,"('would', 'write')",,
191,,,write,,"('write', 'program')",,
192,,,program,,"('program', 'decides')",,
193,,,decides,,"('decides', 'image')",,
194,,,image,,"('image', 'contains')",,
195,,,contains,,"('contains', 'cat')",,
196,,,cat,,"('cat', 'dog')",,
197,,,dog,,"('dog', '?')",,
198,,,?,,"('?', 'What')",,
199,,,What,,"('What', 'Machine')",,
200,,,Machine,,"('Machine', 'Learning')",,
201,,,Learning,,"('Learning', '?')",,
202,,,?,,"('?', 'Many')",,
203,,,Many,,"('Many', 'ML')",,
204,,,ML,,"('ML', 'algorithms')",,
205,,,algorithms,,"('algorithms', 'designed')",,
206,,,designed,,"('designed', ',')",,
207,,,",",,"(',', 'grouped')",,
208,,,grouped,,"('grouped', 'categories')",,
209,,,categories,,"('categories', '.')",,
210,,,.,,"('.', 'Machine')",,
211,,,Machine,,"('Machine', 'learning')",,
212,,,learning,,"('learning', 'algorithms')",,
213,,,algorithms,,"('algorithms', 'designed')",,
214,,,designed,,"('designed', 'tasks')",,
215,,,tasks,,"('tasks', ':')",,
216,,,:,,"(':', 'prediction')",,
217,,,prediction,,"('prediction', ':')",,
218,,,:,,"(':', 'predict')",,
219,,,predict,,"('predict', 'future')",,
220,,,future,,"('future', 'outcomes')",,
221,,,outcomes,,"('outcomes', 'given')",,
222,,,given,,"('given', 'new')",,
223,,,new,,"('new', 'data')",,
224,,,data,,"('data', 'clustering')",,
225,,,clustering,,"('clustering', ':')",,
226,,,:,,"(':', 'automatically')",,
227,,,automatically,,"('automatically', 'group')",,
228,,,group,,"('group', 'lots')",,
229,,,lots,,"('lots', 'data')",,
230,,,data,,"('data', 'points')",,
231,,,points,,"('points', 'classification')",,
232,,,classification,,"('classification', ':')",,
233,,,:,,"(':', 'predict')",,
234,,,predict,,"('predict', 'class')",,
235,,,class,,"('class', 'data')",,
236,,,data,,"('data', 'regression')",,
237,,,regression,,"('regression', ':')",,
238,,,:,,"(':', 'predict')",,
239,,,predict,,"('predict', 'values')",,
240,,,values,,"('values', 'recommendation')",,
241,,,recommendation,,"('recommendation', ':')",,
242,,,:,,"(':', 'recommend')",,
243,,,recommend,,"('recommend', 'new')",,
244,,,new,,"('new', 'products')",,
245,,,products,,"('products', 'based')",,
246,,,based,,"('based', 'past')",,
247,,,past,,"('past', 'purchases')",,
248,,,purchases,,"('purchases', 'Some')",,
249,,,Some,,"('Some', 'practical')",,
250,,,practical,,"('practical', 'examples')",,
251,,,examples,,"('examples', 'problems')",,
252,,,problems,,"('problems', 'may')",,
253,,,may,,"('may', 'approached')",,
254,,,approached,,"('approached', 'Machine')",,
255,,,Machine,,"('Machine', 'Learning')",,
256,,,Learning,,"('Learning', 'algorithms')",,
257,,,algorithms,,"('algorithms', ':')",,
258,,,:,,"(':', 'optical')",,
259,,,optical,,"('optical', 'character')",,
260,,,character,,"('character', 'recognition')",,
261,,,recognition,,"('recognition', '(')",,
262,,,(,,"('(', 'OCR')",,
263,,,OCR,,"('OCR', ')')",,
264,,,),,"(')', ':')",,
265,,,:,,"(':', 'scan')",,
266,,,scan,,"('scan', 'book')",,
267,,,book,,"('book', 'image')",,
268,,,image,,"('image', 'text')",,
269,,,text,,"('text', 'computer')",,
270,,,computer,,"('computer', 'vision')",,
271,,,vision,,"('vision', ':')",,
272,,,:,,"(':', 'make')",,
273,,,make,,"('make', 'computer')",,
274,,,computer,,"('computer', 'see')",,
275,,,see,,"('see', 'search')",,
276,,,search,,"('search', 'engines')",,
277,,,engines,,"('engines', ':')",,
278,,,:,,"(':', 'computerized')",,
279,,,computerized,,"('computerized', 'speech')",,
280,,,speech,,"('speech', 'speech')",,
281,,,speech,,"('speech', 'recognition')",,
282,,,recognition,,"('recognition', ':')",,
283,,,:,,"(':', 'speech')",,
284,,,speech,,"('speech', 'text')",,
285,,,text,,"('text', ',')",,
286,,,",",,"(',', 'think')",,
287,,,think,,"('think', 'Alexa')",,
288,,,Alexa,,"('Alexa', 'recommender')",,
289,,,recommender,,"('recommender', 'systems')",,
290,,,systems,,"('systems', ':')",,
291,,,:,,"(':', 'recommend')",,
292,,,recommend,,"('recommend', 'items')",,
293,,,items,,"('items', ',')",,
294,,,",",,"(',', 'example')",,
295,,,example,,"('example', 'products')",,
296,,,products,,"('products', 'videos')",,
297,,,videos,,"('videos', 'financial')",,
298,,,financial,,"('financial', 'market')",,
299,,,market,,"('market', 'analysis')",,
300,,,analysis,,"('analysis', 'Related')",,
301,,,Related,,"('Related', 'Course')",,
302,,,Course,,"('Course', ':')",,
303,,,:,,"(':', 'Machine')",,
304,,,Machine,,"('Machine', 'Learning')",,
305,,,Learning,,"('Learning', 'Intro')",,
306,,,Intro,,"('Intro', 'Python')",,
307,,,Python,,"('Python', 'Developers')",,
308,,,Developers,,"('Developers', '2017-03-19')",,
309,,,2017-03-19,,"('2017-03-19', 'Copyright')",,
310,,,Copyright,,"('Copyright', '©')",,
311,,,©,,"('©', '2015')",,
312,,,2015,,"('2015', '-')",,
313,,,-,,"('-', '2020')",,
314,,,2020,,"('2020', '-')",,
315,,,-,,"('-', 'Pythonspot')",,
316,,,Pythonspot,,"('Pythonspot', '.')",,
317,,,.,,"('.', '|')",,
318,,,|,,"('|', 'Cookie')",,
319,,,Cookie,,"('Cookie', 'policy')",,
320,,,policy,,"('policy', '|')",,
321,,,|,,"('|', 'Terms')",,
322,,,Terms,,"('Terms', 'use')",,
323,,,use,,"('use', '|')",,
324,,,|,,"('|', 'Privacy')",,
325,,,Privacy,,"('Privacy', 'policy')",,
326,,,policy,,,,
